index,单词,正确发音（英音）,正确发音（美音）,错误发音
82,migrate,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=migrate&type=1' type='audio/ogg'></audio><code>/maɪˈɡreɪt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=migrate&type=2' type='audio/ogg'></audio><code>/ˈmaɪɡreɪt/</code></div>,:x: `/ˈmɪɡreɪt/`
83,miscellaneous,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=miscellaneous&type=1' type='audio/ogg'></audio><code>/ˌmɪsəˈleɪniəs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=miscellaneous&type=2' type='audio/ogg'></audio><code>/ˌmɪsəˈleɪniəs/</code></div>,:x: 
84,module,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=module&type=1' type='audio/ogg'></audio><code>/'mɒdjuːl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=module&type=2' type='audio/ogg'></audio><code>/ˈmɑːdʒuːl/</code></div>,:x: `/'məʊdl/`
85,native,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=native&type=1' type='audio/ogg'></audio><code>/ˈneɪtɪv/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=native&type=2' type='audio/ogg'></audio><code>/ˈneɪtɪv/</code></div>,:x: `/ˈnætɪv/`
86,nginx,Engine X,Engine X,:x: 
87, ,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=null&type=1' type='audio/ogg'></audio><code>/nʌl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=null&type=2' type='audio/ogg'></audio><code>/nʌl/</code></div>,:x: `/naʊ/`
88,obsolete,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=obsolete&type=1' type='audio/ogg'></audio><code>/ˈɒbsəliːt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=obsolete&type=2' type='audio/ogg'></audio><code>/ˌɑːbsəˈliːt/</code></div>,:x: 
89,OS X,OS ten,OS ten,:x: `/ɔs eks/`
90,phantom,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=phantom&type=1' type='audio/ogg'></audio><code>/'fæntəm/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=phantom&type=2' type='audio/ogg'></audio><code>/ˈfæntəm/</code></div>,:x: `/'pæntəm/`
91,parameter,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=parameter&type=1' type='audio/ogg'></audio><code>/pə'ræmɪtə/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=parameter&type=2' type='audio/ogg'></audio><code>/pəˈræmɪtər/</code></div>,:x: `/'pærəmɪtə/`
92,premise,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=premise&type=1' type='audio/ogg'></audio><code>/ˈpremɪs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=premise&type=2' type='audio/ogg'></audio><code>/ˈpremɪs/</code></div>,:x: `/prɪ'mɪs/`
93,privilege,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=privilege&type=1' type='audio/ogg'></audio><code>/'prɪvəlɪdʒ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=privilege&type=2' type='audio/ogg'></audio><code>/ˈprɪvəlɪdʒ/</code></div>,:x: `/'prɪvɪlɪdʒ/`
94,probe,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=probe&type=1' type='audio/ogg'></audio><code>/prəʊb/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=probe&type=2' type='audio/ogg'></audio><code>/proʊb/</code></div>,:x: `/proʊbi/`
95,Prometheus,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=prometheus&type=1' type='audio/ogg'></audio><code>/prə-ˈmē-thē-əs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=prometheus&type=2' type='audio/ogg'></audio><code>/pro'miθɪəs/</code></div>,:x: 
96,putty,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=putty&type=1' type='audio/ogg'></audio><code>/ˈpʌti/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=putty&type=2' type='audio/ogg'></audio><code>/ˈpʌti/</code></div>,:x: `/ˈpuːti/`
97,Qt,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=cute&type=1' type='audio/ogg'></audio><code>/kjuːt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=cute&type=2' type='audio/ogg'></audio><code>/kjuːt/</code></div>,:x: 
98,query,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=query&type=1' type='audio/ogg'></audio><code>/'kwɪəri/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=query&type=2' type='audio/ogg'></audio><code>/ˈkwɪri/</code></div>,:x: `/'kwaɪri/`
99,Realm,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=realm&type=1' type='audio/ogg'></audio><code>/relm/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=realm&type=2' type='audio/ogg'></audio><code>/relm/</code></div>,:x: `/riəlm/`
100,reconcile,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=reconcile&type=1' type='audio/ogg'></audio><code>/ˈrekənsaɪl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=reconcile&type=2' type='audio/ogg'></audio><code>/ˈrekənsaɪl/</code></div>,:x: 
101,Redux,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=redux&type=1' type='audio/ogg'></audio><code>/ri'dʌks/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=redux&type=2' type='audio/ogg'></audio><code>/ri'dʌks/</code></div>,:x: `/'ridju:ks/`
102,resume,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=resume&type=1' type='audio/ogg'></audio><code>/rɪ'zju:m/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=resume&type=2' type='audio/ogg'></audio><code>/rɪˈzuːm/</code></div>,:x: `/rɪ'sju:m/`
103,resolved,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=resolved&type=1' type='audio/ogg'></audio><code>/rɪ'zɒlvd/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=resolved&type=2' type='audio/ogg'></audio><code>/rɪˈzɑːlvd/</code></div>,:x: `/rɪ'səʊvd/`
104,resort,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=resort&type=1' type='audio/ogg'></audio><code>/rɪˈzɔ:t/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=resort&type=2' type='audio/ogg'></audio><code>/rɪˈzɔːrt/</code></div>,:x: `/rɪˈsɔ:t/`
105,retina,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=retina&type=1' type='audio/ogg'></audio><code>/'retɪnə/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=retina&type=2' type='audio/ogg'></audio><code>/ˈretɪnə/</code></div>,:x: `/ri'tina/`
106,route,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=route&type=1' type='audio/ogg'></audio><code>/ruːt/</code></div>,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=route&type=2' type='audio/ogg'></audio><code>/ruːt,raʊt/</code></div>",:x: `/rəʊt/`
107,San Jose,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=san%20jose&type=1' type='audio/ogg'></audio><code>/sænhəu'zei/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=san%20jose&type=2' type='audio/ogg'></audio><code>/sænhəu'zei/</code></div>,:x: `/sæn'ju:s/`
108,safari,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=safari&type=1' type='audio/ogg'></audio><code>/sə'fɑːrɪ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=safari&type=2' type='audio/ogg'></audio><code>/səˈfɑːri/</code></div>,:x: `/sæfərɪ/`
109,scheme,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=scheme&type=1' type='audio/ogg'></audio><code>/skiːm/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=scheme&type=2' type='audio/ogg'></audio><code>/skiːm/</code></div>,:x: `/s'kæmə/`
110,scala,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=scala&type=1' type='audio/ogg'></audio><code>/ˈskɑːlɑ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=scala&type=2' type='audio/ogg'></audio><code>/ˈskɑːlɑ/</code></div>,:x: `/ˈskæːlɑ/`
111,segue,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=segue&type=1' type='audio/ogg'></audio><code>/'sɛɡwe/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=segue&type=2' type='audio/ogg'></audio><code>/ˈseɡweɪ/</code></div>,:x: `/se'dʒ/`
112,SQL,"<code>/ˈsiːkwəl/</code>, <code>/ˈesˈkjuːˈel/</code>","<code>/ˈsiːkwəl/</code>, <code>/ˈesˈkjuːˈel/</code>",:x: `/sərk(ə)l/`
113,sudo,<code>/'suːduː/</code>,<code>/'suːduː/</code>,:x: 
114,suite,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=suite&type=1' type='audio/ogg'></audio><code>/swiːt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=suite&type=2' type='audio/ogg'></audio><code>/swiːt/</code></div>,:x: `/sjuːt/`
115,telemetry,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=telemetry&type=1' type='audio/ogg'></audio><code>/təˈlemətri/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=telemetry&type=2' type='audio/ogg'></audio><code>/təˈlemətri/</code></div>,:x: `/ˈtelɪmətri/`
116,thymeleaf,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=thymeleaf&type=1' type='audio/ogg'></audio><code>/ˈtaɪmˌlɪːf/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=thymeleaf&type=2' type='audio/ogg'></audio><code>/ˈtaɪmˌlɪːf/</code></div>,:x: `/θiːmɪlɪːf/`
117,tuple,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=tuple&type=1' type='audio/ogg'></audio><code>/tjʊpəl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=tuple&type=2' type='audio/ogg'></audio><code>/tuːpəl/</code></div>,:x: 
118,typical,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=typical&type=1' type='audio/ogg'></audio><code>/'tɪpɪkl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=typical&type=2' type='audio/ogg'></audio><code>/ˈtɪpɪkl/</code></div>,:x: `/'taɪpɪkəl/`
119,Ubuntu,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/b/b5/En-Ubuntu_pronunciation.oga' type='audio/ogg'></audio><code>/ʊ'bʊntʊ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/b/b5/En-Ubuntu_pronunciation.oga' type='audio/ogg'></audio><code>/ʊ'bʊntʊ/</code></div>,:x: `/juː'bʊntʊ/`
120,UEFI,U-E-F-I,U-E-F-I,:x: `/jufi/`
121,Vagrant,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Vagrant&type=1' type='audio/ogg'></audio><code>/ˈveɪɡrənt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Vagrant&type=2' type='audio/ogg'></audio><code>/ˈveɪɡrənt/</code></div>,:x: /ˈvagɹent/
122,variable,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=variable&type=1' type='audio/ogg'></audio><code>/'veəriəbl/</code></div>,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=variable&type=2' type='audio/ogg'></audio><code>/ˈveriəbl,ˈværiəbl/</code></div>",:x: `/və'raiəbl/`
123,verbose,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=verbose&type=1' type='audio/ogg'></audio><code>/vɜːˈbəʊs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=verbose&type=2' type='audio/ogg'></audio><code>/vɜːrˈboʊs/</code></div>,:x: `/'vɜːrboʊs/`
124,vue,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=vue&type=1' type='audio/ogg'></audio><code>/v'ju:/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=vue&type=2' type='audio/ogg'></audio><code>/v'ju:/</code></div>,:x: `/v'ju:i/`
125,width,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=width&type=1' type='audio/ogg'></audio><code>/wɪdθ/</code></div>,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=width&type=2' type='audio/ogg'></audio><code>/wɪdθ,wɪtθ/</code></div>",:x: `/waɪdθ/`
126,YouTube,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=youtube&type=1' type='audio/ogg'></audio><code>/'juː'tjuːb/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=youtube&type=2' type='audio/ogg'></audio><code>/'juː'tjuːb/</code></div>,:x: `/'juː'tʊbɪ/`
127,Vite,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=vite&type=1' type='audio/ogg'></audio><code>/vit/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=vite&type=2' type='audio/ogg'></audio><code>/vit/</code></div>,:x: `/vaɪt/`
